Date,Activité: en amoureux,Activité: jeu de société,Activité: social,Activité: marche,Activité: Vélo,Activité: Sport,Taf: Recherche d'emploi,Ordi: Jeu vidéo,Ordi: Code,Photos: prises,Photos: traitées,Photos: postées,Mood : Heureux,Mood: Anxiété,Mood: Apathie,Mood: Dynamique,Mood : fatigué,Mood : triste,Repas: Resto,Repas: Alcool,Repas : Café,Repas: gras ++,Repas: sucre ++,Repas : quantité ++,Repas: grignotage,Sommeil : couché tard,Sommeil : levé tard,Sommeil : mal dormi,Durée sommeil,Poids,Santé : charge lourde,Santé : Mal de dos
03-09-24,-1,1,-1,1,-1,1,-1,2,-1,2,1,1,2,-1,-1,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,2,2,7900,-1,-1,2
03-08-24,-1,2,-1,1,-1,2,-1,2,1,-1,2,-1,1,1,1,-1,-1,-1,-1,-1,1,2,-1,2,-1,-1,-1,-1,6500,-1,2,2
03-07-24,2,2,-1,-1,-1,1,2,2,-1,1,2,1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,6400,-1,-1,-1
03-06-24,2,-1,-1,2,-1,2,2,2,-1,2,-1,1,2,-1,-1,2,-1,-1,2,-1,2,-1,-1,2,-1,-1,-1,2,5800,-1,-1,-1
03-05-24,1,-1,-1,-1,-1,1,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,6600,79500,-1,-1
03-04-24,1,-1,-1,-1,-1,1,-1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,7170,-1,-1,-1
03-03-24,2,-1,-1,2,-1,1,-1,1,2,2,-1,-1,2,-1,-1,2,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,6000,-1,-1,-1
03-02-24,2,-1,-1,-1,-1,2,-1,2,2,1,1,-1,2,-1,-1,2,-1,-1,2,-1,2,2,-1,-1,2,-1,-1,-1,6200,-1,-1,-1
03-01-24,1,-1,1,-1,2,-1,1,1,1,-1,2,-1,-1,-1,1,-1,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,-1,6400,-1,-1,-1
02-29-24,1,-1,-1,-1,-1,1,0,1,-1,2,1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,6500,-1,-1,-1
02-28-24,1,-1,-1,-1,-1,2,2,2,-1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,6400,-1,-1,-1
02-27-24,-1,-1,-1,-1,-1,1,2,2,-1,1,2,2,2,-1,-1,2,-1,-1,2,-1,2,0,2,2,-1,-1,-1,-1,7200,79300,-1,-1
02-26-24,-1,-1,2,-1,-1,1,-1,2,-1,1,2,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,-1,2,2,-1,-1,-1,7500,-1,-1,-1
02-25-24,-1,-1,-1,2,-1,1,-1,2,-1,1,2,-1,-1,2,2,-1,2,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,6500,-1,-1,-1
02-24-24,-1,-1,2,-1,-1,-1,-1,2,-1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,2,-1,6500,-1,-1,-1
02-23-24,-1,-1,2,-1,2,-1,2,1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,-1,-1,7250,-1,-1,-1
02-22-24,-1,-1,-1,-1,-1,-1,2,2,-1,1,1,-1,-1,-1,2,-1,2,2,-1,-1,2,-1,-1,0,-1,-1,-1,2,7180,79100,-1,-1
02-21-24,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,-1,-1,2,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,6400,79200,-1,-1
02-20-24,-1,-1,-1,-1,2,-1,-1,1,-1,1,2,-1,-1,-1,2,-1,-1,2,-1,-1,2,2,2,-1,-1,2,-1,-1,6500,-1,-1,-1
02-19-24,-1,-1,2,-1,-1,-1,-1,2,-1,2,1,-1,2,2,-1,-1,-1,-1,-1,2,2,2,-1,1,-1,-1,-1,-1,7200,-1,-1,-1
02-18-24,-1,-1,-1,2,-1,1,-1,-1,2,2,1,-1,2,-1,-1,-1,-1,2,2,-1,2,2,-1,1,-1,-1,-1,-1,7500,-1,-1,-1
02-17-24,2,-1,-1,-1,1,1,-1,2,-1,2,1,1,2,-1,-1,-1,-1,2,-1,-1,2,2,-1,1,-1,2,-1,-1,8500,-1,-1,-1
02-16-24,-1,-1,-1,2,2,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,1,-1,-1,-1,-1,7500,-1,-1,-1
02-15-24,-1,-1,-1,-1,1,1,2,2,-1,1,1,2,-1,-1,-1,2,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,-1,6500,-1,-1,-1
02-14-24,-1,1,-1,2,2,2,-1,2,-1,1,1,1,2,0,0,-1,2,-1,-1,-1,2,2,-1,1,2,-1,-1,-1,6500,-1,-1,-1
02-13-24,2,1,-1,-1,2,1,2,2,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,-1,-1,2,7250,79000,-1,-1
02-12-24,-1,1,-1,2,-1,2,-1,-1,-1,2,1,1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,2,-1,7180,-1,-1,-1
